name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",n/a,n/a,['R'],['R'],[],fdn,uncommon
Abyssal Harvester,{1}{B}{B},3.0,Creature — Demon Warlock,"{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.",3,2,['B'],['B'],[],fdn,rare
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",n/a,n/a,['W'],['W'],[],fdn,common
Adaptive Automaton,{3},3.0,Artifact Creature — Construct,"As Adaptive Automaton enters, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.",2,2,[],[],[],fdn,rare
Adventuring Gear,{1},1.0,Artifact — Equipment,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",n/a,n/a,[],[],"['Equip', 'Landfall']",fdn,uncommon
Aegis Turtle,{U},1.0,Creature — Turtle,,0,5,['U'],['U'],[],fdn,common
Aetherize,{3}{U},4.0,Instant,Return all attacking creatures to their owner's hand.,n/a,n/a,['U'],['U'],[],fdn,uncommon
Affectionate Indrik,{5}{G},6.0,Creature — Beast,"When Affectionate Indrik enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)",4,4,['G'],['G'],['Fight'],fdn,uncommon
Aggressive Mammoth,{3}{G}{G}{G},6.0,Creature — Elephant,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.",8,8,['G'],['G'],['Trample'],fdn,rare
"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",n/a,n/a,['W'],['W'],[],fdn,mythic
Ajani's Pridemate,{1}{W},2.0,Creature — Cat Soldier,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",2,2,['W'],['W'],[],fdn,uncommon
"Alesha, Who Laughs at Fate",{1}{B}{R},3.0,Legendary Creature — Human Warrior,"First strike
Whenever Alesha attacks, put a +1/+1 counter on it.
Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.",2,2,"['B', 'R']","['B', 'R']","['First strike', 'Raid']",fdn,rare
Ambush Wolf,{2}{G},3.0,Creature — Wolf,"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard.",4,2,['G'],['G'],['Flash'],fdn,common
Ancestor Dragon,{4}{W}{W},6.0,Creature — Dragon,"Flying
Whenever one or more creatures you control attack, you gain 1 life for each attacking creature.",5,6,['W'],['W'],['Flying'],fdn,rare
Angelic Destiny,{2}{W}{W},4.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types.
When enchanted creature dies, return Angelic Destiny to its owner's hand.",n/a,n/a,['W'],['W'],['Enchant'],fdn,mythic
Angelic Edict,{4}{W},5.0,Sorcery,Exile target creature or enchantment.,n/a,n/a,['W'],['W'],[],fdn,common
Angel of Finality,{3}{W},4.0,Creature — Angel,"Flying
When Angel of Finality enters, exile target player's graveyard.",3,4,['W'],['W'],['Flying'],fdn,uncommon
Angel of Vitality,{2}{W},3.0,Creature — Angel,"Flying
If you would gain life, you gain that much life plus 1 instead.
Angel of Vitality gets +2/+2 as long as you have 25 or more life.",2,2,['W'],['W'],['Flying'],fdn,uncommon
An Offer You Can't Refuse,{U},1.0,Instant,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",n/a,n/a,['U'],['U'],['Treasure'],fdn,uncommon
Anthem of Champions,{G}{W},2.0,Enchantment,Creatures you control get +1/+1.,n/a,n/a,"['G', 'W']","['G', 'W']",[],fdn,rare
Apothecary Stomper,{4}{G}{G},6.0,Creature — Elephant,"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life.",4,4,['G'],['G'],['Vigilance'],fdn,common
"Arahbo, the First Fang",{2}{W},3.0,Legendary Creature — Cat Avatar,"Other Cats you control get +1/+1.
Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.",2,2,['W'],['W'],[],fdn,rare
Arbiter of Woe,{4}{B}{B},6.0,Creature — Demon,"As an additional cost to cast this spell, sacrifice a creature.
Flying
When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life.",5,4,['B'],['B'],['Flying'],fdn,uncommon
Arcane Epiphany,{3}{U}{U},5.0,Instant,"This spell costs {1} less to cast if you control a Wizard.
Draw three cards.",n/a,n/a,['U'],['U'],[],fdn,uncommon
Arcanis the Omnipotent,{3}{U}{U}{U},6.0,Legendary Creature — Wizard,"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.",3,4,['U'],['U'],[],fdn,rare
Archmage of Runes,{3}{U}{U},5.0,Creature — Giant Wizard,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, draw a card.",3,6,['U'],['U'],[],fdn,rare
Archway Angel,{5}{W},6.0,Creature — Angel,"Flying
When Archway Angel enters, you gain 2 life for each Gate you control.",3,4,['W'],['W'],['Flying'],fdn,uncommon
Armasaur Guide,{4}{W},5.0,Creature — Dinosaur,"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control.",4,4,['W'],['W'],['Vigilance'],fdn,common
Ashroot Animist,{2}{R}{G},4.0,Creature — Lizard Druid,"Trample
When this creature attacks, another target creature you control gains trample and gets +X/+X until end of turn, where X is this creature's power.",4,4,"['G', 'R']","['G', 'R']",['Trample'],fdn,rare
"Aurelia, the Warleader",{2}{R}{R}{W}{W},6.0,Legendary Creature — Angel,"Flying, vigilance, haste
Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.",3,4,"['R', 'W']","['R', 'W']","['Flying', 'Vigilance', 'Haste']",fdn,mythic
Authority of the Consuls,{W},1.0,Enchantment,"Creatures your opponents control enter tapped.
Whenever a creature an opponent controls enters, you gain 1 life.",n/a,n/a,['W'],['W'],[],fdn,rare
Axgard Cavalry,{1}{R},2.0,Creature — Dwarf Berserker,{T}: Target creature gains haste until end of turn.,2,2,['R'],['R'],[],fdn,common
"Ayli, Eternal Pilgrim",{W}{B},2.0,Legendary Creature — Kor Cleric,"Deathtouch
{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.
{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total.",2,3,"['B', 'W']","['B', 'W']",['Deathtouch'],fdn,rare
Azorius Guildgate,,0.0,Land — Gate,"Azorius Guildgate enters tapped.
{T}: Add {W} or {U}.",n/a,n/a,[],"['U', 'W']",[],fdn,common
Bake into a Pie,{2}{B}{B},4.0,Instant,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",n/a,n/a,['B'],['B'],['Food'],fdn,common
Ball Lightning,{R}{R}{R},3.0,Creature — Elemental,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.",6,1,['R'],['R'],"['Haste', 'Trample']",fdn,rare
Ballyrush Banneret,{1}{W},2.0,Creature — Kithkin Soldier,Kithkin spells and Soldier spells you cast cost {1} less to cast.,2,1,['W'],['W'],[],fdn,common
"Balmor, Battlemage Captain",{U}{R},2.0,Legendary Creature — Bird Wizard,"Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.",1,3,"['R', 'U']","['R', 'U']",['Flying'],fdn,uncommon
Banishing Light,{2}{W},3.0,Enchantment,"When Banishing Light enters, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",n/a,n/a,['W'],['W'],[],fdn,common
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",n/a,n/a,[],[],[],fdn,rare
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink.
Equip {2}",n/a,n/a,[],[],['Equip'],fdn,rare
Battle-Rattle Shaman,{3}{R},4.0,Creature — Goblin Shaman,"At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.",2,2,['R'],['R'],[],fdn,uncommon
Battlesong Berserker,{3}{R},4.0,Creature — Human Berserker,"Whenever you attack, target creature you control gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",3,4,['R'],['R'],[],fdn,uncommon
Bear Cub,{1}{G},2.0,Creature — Bear,,2,2,['G'],['G'],[],fdn,common
Beast-Kin Ranger,{2}{G},3.0,Creature — Elf Ranger,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn.",3,3,['G'],['G'],['Trample'],fdn,common
Bigfin Bouncer,{3}{U},4.0,Creature — Shark Pirate,"When this creature enters, return target creature an opponent controls to its owner's hand.",3,2,['U'],['U'],[],fdn,common
Billowing Shriekmass,{3}{B},4.0,Creature — Spirit,"Flying
When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard.",2,3,['B'],['B'],"['Flying', 'Threshold', 'Mill']",fdn,uncommon
Biogenic Upgrade,{4}{G}{G},6.0,Sorcery,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures.",n/a,n/a,['G'],['G'],[],fdn,uncommon
Bishop's Soldier,{1}{W},2.0,Creature — Vampire Soldier,Lifelink,2,2,['W'],['W'],['Lifelink'],fdn,common
Bite Down,{1}{G},2.0,Instant,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,n/a,n/a,['G'],['G'],[],fdn,common
Blanchwood Armor,{2}{G},3.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.",n/a,n/a,['G'],['G'],['Enchant'],fdn,uncommon
Blasphemous Edict,{3}{B}{B},5.0,Sorcery,"You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield.
Each player sacrifices thirteen creatures of their choice.",n/a,n/a,['B'],['B'],[],fdn,rare
Bloodfell Caves,,0.0,Land,"Bloodfell Caves enters tapped.
When Bloodfell Caves enters, you gain 1 life.
{T}: Add {B} or {R}.",n/a,n/a,[],"['B', 'R']",[],fdn,common
Bloodthirsty Conqueror,{3}{B}{B},5.0,Creature — Vampire Knight,"Flying, deathtouch
Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)",5,5,['B'],['B'],"['Deathtouch', 'Flying']",fdn,mythic
Bloodtithe Collector,{4}{B},5.0,Creature — Vampire Noble,"Flying
When Bloodtithe Collector enters, if an opponent lost life this turn, each opponent discards a card.",3,4,['B'],['B'],['Flying'],fdn,uncommon
Blossoming Sands,,0.0,Land,"Blossoming Sands enters tapped.
When Blossoming Sands enters, you gain 1 life.
{T}: Add {G} or {W}.",n/a,n/a,[],"['G', 'W']",[],fdn,common
Bolt Bend,{3}{R},4.0,Instant,"This spell costs {3} less to cast if you control a creature with power 4 or greater.
Change the target of target spell or ability with a single target.",n/a,n/a,['R'],['R'],[],fdn,uncommon
Boltwave,{R},1.0,Sorcery,Boltwave deals 3 damage to each opponent.,n/a,n/a,['R'],['R'],[],fdn,uncommon
Boros Charm,{R}{W},2.0,Instant,"Choose one —
• Boros Charm deals 4 damage to target player or planeswalker.
• Permanents you control gain indestructible until end of turn.
• Target creature gains double strike until end of turn.",n/a,n/a,"['R', 'W']","['R', 'W']",[],fdn,uncommon
Boros Guildgate,,0.0,Land — Gate,"Boros Guildgate enters tapped.
{T}: Add {R} or {W}.",n/a,n/a,[],"['R', 'W']",[],fdn,common
Brass's Bounty,{6}{R},7.0,Sorcery,"For each land you control, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",n/a,n/a,['R'],['R'],['Treasure'],fdn,rare
Brazen Scourge,{1}{R}{R},3.0,Creature — Gremlin,Haste,3,3,['R'],['R'],['Haste'],fdn,uncommon
Brineborn Cutthroat,{1}{U},2.0,Creature — Merfolk Pirate,"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat.",2,1,['U'],['U'],['Flash'],fdn,uncommon
Broken Wings,{2}{G},3.0,Instant,"Destroy target artifact, enchantment, or creature with flying.",n/a,n/a,['G'],['G'],[],fdn,common
Bulk Up,{1}{R},2.0,Instant,"Double target creature's power until end of turn.
Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",n/a,n/a,['R'],['R'],['Flashback'],fdn,uncommon
Burglar Rat,{1}{B},2.0,Creature — Rat,"When Burglar Rat enters, each opponent discards a card.",1,1,['B'],['B'],[],fdn,common
Burnished Hart,{3},3.0,Artifact Creature — Elk,"{3}, Sacrifice Burnished Hart: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",2,2,[],[],[],fdn,uncommon
Burrog Befuddler,{1}{U},2.0,Creature — Frog Wizard,"Flash
When Burrog Befuddler enters, target creature an opponent controls gets -1/-0 until end of turn.",2,1,['U'],['U'],['Flash'],fdn,common
Burst Lightning,{R},1.0,Instant,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Burst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead.",n/a,n/a,['R'],['R'],['Kicker'],fdn,common
Bushwhack,{G},1.0,Sorcery,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",n/a,n/a,['G'],['G'],['Fight'],fdn,common
Cackling Prowler,{3}{G},4.0,Creature — Hyena Rogue,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",4,3,['G'],['G'],"['Ward', 'Morbid']",fdn,common
Campus Guide,{2},2.0,Artifact Creature — Golem,"When Campus Guide enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.",2,1,[],[],[],fdn,common
Cancel,{1}{U}{U},3.0,Instant,Counter target spell.,n/a,n/a,['U'],['U'],[],fdn,common
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",n/a,n/a,['R'],['R'],[],fdn,common
Cat Collector,{2}{W},3.0,Creature — Human Citizen,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token.",3,2,['W'],['W'],['Food'],fdn,uncommon
Cathar Commando,{1}{W},2.0,Creature — Human Soldier,"Flash
{1}, Sacrifice Cathar Commando: Destroy target artifact or enchantment.",3,1,['W'],['W'],['Flash'],fdn,common
Celestial Armor,{2}{W},3.0,Artifact — Equipment,"Flash (You may cast this spell any time you could cast an instant.)
When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.
Equipped creature gets +2/+0 and has flying.
Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)",n/a,n/a,['W'],['W'],"['Equip', 'Flash']",fdn,rare
Cemetery Recruitment,{1}{B},2.0,Sorcery,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",n/a,n/a,['B'],['B'],[],fdn,common
Cephalid Inkmage,{2}{U},3.0,Creature — Octopus Wizard,"When this creature enters, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Threshold — This creature can't be blocked as long as there are seven or more cards in your graveyard.",2,2,['U'],['U'],"['Surveil', 'Threshold']",fdn,uncommon
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",n/a,n/a,['R'],['R'],[],fdn,mythic
Charming Prince,{1}{W},2.0,Creature — Human Noble,"When Charming Prince enters, choose one —
• Scry 2.
• You gain 3 life.
• Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.",2,2,['W'],['W'],['Scry'],fdn,rare
Chart a Course,{1}{U},2.0,Sorcery,Draw two cards. Then discard a card unless you attacked this turn.,n/a,n/a,['U'],['U'],[],fdn,uncommon
Circuitous Route,{3}{G},4.0,Sorcery,"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle.",n/a,n/a,['G'],['G'],[],fdn,uncommon
Claws Out,{3}{W}{W},5.0,Instant,"This spell costs {1} less to cast for each Cat you control.
Creatures you control get +2/+2 until end of turn.",n/a,n/a,['W'],['W'],[],fdn,uncommon
Clinquant Skymage,{3}{U},4.0,Creature — Bird Wizard,"Flying
Whenever you draw a card, put a +1/+1 counter on this creature.",1,1,['U'],['U'],['Flying'],fdn,uncommon
Cloudblazer,{3}{W}{U},5.0,Creature — Human Scout,"Flying
When Cloudblazer enters, you gain 2 life and draw two cards.",2,2,"['U', 'W']","['U', 'W']",['Flying'],fdn,uncommon
Confiscate,{4}{U}{U},6.0,Enchantment — Aura,"Enchant permanent
You control enchanted permanent.",n/a,n/a,['U'],['U'],['Enchant'],fdn,uncommon
Consuming Aberration,{3}{U}{B},5.0,Creature — Horror,"Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.
Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",*,*,"['B', 'U']","['B', 'U']",[],fdn,rare
Corsair Captain,{2}{U},3.0,Creature — Human Pirate,"When Corsair Captain enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Other Pirates you control get +1/+1.",2,2,['U'],['U'],['Treasure'],fdn,rare
Courageous Goblin,{1}{R},2.0,Creature — Goblin,"Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",2,2,['R'],['R'],[],fdn,common
Crackling Cyclops,{2}{R},3.0,Creature — Cyclops Wizard,"Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.",0,4,['R'],['R'],[],fdn,common
Crash Through,{R},1.0,Sorcery,"Creatures you control gain trample until end of turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)
Draw a card.",n/a,n/a,['R'],['R'],[],fdn,common
Crawling Barrens,,0.0,Land,"{T}: Add {C}.
{4}: Put two +1/+1 counters on Crawling Barrens. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land.",n/a,n/a,[],[],[],fdn,rare
Crossway Troublemakers,{5}{B},6.0,Creature — Vampire,"Attacking Vampires you control have deathtouch and lifelink.
Whenever a Vampire you control dies, you may pay 2 life. If you do, draw a card.",5,5,['B'],['B'],[],fdn,rare
Crow of Dark Tidings,{2}{B},3.0,Creature — Zombie Bird,"Flying
When Crow of Dark Tidings enters or dies, mill two cards. (Put the top two cards of your library into your graveyard.)",2,1,['B'],['B'],"['Flying', 'Mill']",fdn,common
Crusader of Odric,{2}{W},3.0,Creature — Human Soldier,Crusader of Odric's power and toughness are each equal to the number of creatures you control.,*,*,['W'],['W'],[],fdn,common
Crypt Feaster,{3}{B},4.0,Creature — Zombie,"Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.",3,4,['B'],['B'],"['Threshold', 'Menace']",fdn,common
Cryptic Caves,,0.0,Land,"{T}: Add {C}.
{1}, {T}, Sacrifice Cryptic Caves: Draw a card. Activate only if you control five or more lands.",n/a,n/a,[],[],[],fdn,uncommon
Crystal Barricade,{1}{W},2.0,Artifact Creature — Wall,"Defender (This creature can't attack.)
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Prevent all noncombat damage that would be dealt to other creatures you control.",0,4,['W'],['W'],['Defender'],fdn,rare
