Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Breaker of Creation,,U,60631,3.42,13839,4.2,70139,86.20%,54.00%,10819,52.70%,17087,57.00%,27906,55.30%,40841,52.70%,2.6pp,{6}{C}{C},8,Creature — Eldrazi,"When you cast this spell, you gain 1 life for each colorless permanent you control.
Hexproof from each color
Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)",8,4,[],[],"['Annihilator', 'Hexproof from', 'Hexproof']",mh3,uncommon
Devourer of Destiny,,R,16812,2.37,5980,2.5,29641,83.40%,54.40%,5178,55.60%,7213,57.30%,12391,56.60%,16752,52.40%,4.2pp,{5}{C}{C},7,Creature — Eldrazi,"You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the top four cards of your library. You may put one of those cards back on top of your library. Exile the rest.
When you cast this spell, exile target permanent that's one or more colors.",6,6,[],[],[],mh3,rare
Drownyard Lurker,U,C,251967,5.35,35529,7.69,152386,72.80%,53.20%,24848,52.00%,39202,55.40%,64050,54.10%,86934,52.40%,1.7pp,{7},7,Creature — Eldrazi Trilobite,"Vigilance
When you cast or cycle Drownyard Lurker, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)",7,7,[],['U'],"['Vigilance', 'Cycling']",mh3,common
Echoes of Eternity,,R,28966,3.99,4962,5.17,17182,59.80%,52.00%,2799,48.30%,4344,53.90%,7143,51.70%,9826,51.90%,-0.2pp,{3}{C}{C}{C},6,Kindred Enchantment — Eldrazi,"If a triggered ability of a colorless spell you control or another colorless permanent you control triggers, that ability triggers an additional time.
Whenever you cast a colorless spell, copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",,,[],[],[],mh3,rare
Eldrazi Ravager,,U,70144,3.81,11592,5.11,57046,84.20%,52.80%,9572,49.70%,13465,52.80%,23037,51.50%,33492,53.40%,-1.9pp,{5}{C},6,Creature — Eldrazi,"Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)
Sacrifice two Eldrazi: Return Eldrazi Ravager from your graveyard to your hand.
Cycling {2} ({2}, Discard this card: Draw a card.)",6,6,[],[],"['Annihilator', 'Cycling']",mh3,uncommon
"Emrakul, the World Anew",,M,5560,1.65,2890,1.58,13144,77.60%,54.00%,1916,52.80%,3487,61.10%,5403,58.20%,7422,50.20%,8.0pp,{12},12,Legendary Creature — Eldrazi,"When you cast this spell, gain control of all creatures target player controls.
Flying, protection from spells and from permanents that were cast this turn
When Emrakul, the World Anew leaves the battlefield, sacrifice all creatures you control.
Madness—Pay six {C}.",12,12,[],[],"['Flying', 'Madness', 'Protection']",mh3,mythic
Glaring Fleshraker,,U,56740,3.19,13913,3.86,71521,86.00%,54.70%,12387,55.30%,16882,56.70%,29269,56.10%,41112,53.40%,2.7pp,{2}{C},3,Creature — Eldrazi Drone,"Whenever you cast a colorless spell, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""
Whenever another colorless creature enters the battlefield under your control, Glaring Fleshraker deals 1 damage to each opponent.",2,2,[],[],[],mh3,uncommon
"Herigast, Erupting Nullkite",R,M,6679,1.94,3004,1.92,14801,84.90%,52.30%,2338,50.30%,3411,54.00%,5749,52.50%,8921,51.90%,0.6pp,{9},9,Legendary Creature — Eldrazi Dragon,"Emerge {6}{R}{R} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, you may exile your hand. If you do, draw three cards.
Flying
Each creature spell you cast has emerge. The emerge cost is equal to its mana cost.",6,6,[],['R'],"['Flying', 'Emerge']",mh3,mythic
It That Heralds the End,,U,67311,3.76,12834,4.83,63367,83.50%,54.20%,10701,53.60%,14859,54.60%,25560,54.20%,36955,54.00%,0.2pp,{1}{C},2,Creature — Eldrazi Drone,"Colorless spells you cast with mana value 7 or greater cost {1} less to cast.
Other colorless creatures you control get +1/+1.",2,2,[],[],[],mh3,uncommon
"Kozilek, the Broken Reality",,M,4895,1.48,2999,1.45,15396,85.50%,53.50%,2347,53.20%,3870,58.00%,6217,56.20%,8887,51.20%,5.0pp,{9},9,Legendary Creature — Eldrazi,"When you cast this spell, up to two target players each manifest two cards from their hands. For each card manifested this way, you draw a card. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
Other colorless creatures you control get +3/+2.",9,9,[],[],['Manifest'],mh3,mythic
