"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Round","W","R","81473","6.30","10028","9.62","1980","3.3%","47.2%","295","","473","","768","41.4%","1212","50.8%","-9.4pp"
"Archangel of Tithes","W","M","12611","2.11","4529","2.19","22097","81.9%","53.9%","3576","54.6%","5340","55.6%","8916","55.2%","13220","53.0%","2.2pp"
"Armored Armadillo","W","C","472614","7.88","50563","11.63","38381","12.7%","51.0%","6558","49.9%","8974","50.7%","15532","50.4%","22805","51.5%","-1.1pp"
"Aven Interrupter","W","R","30747","2.47","10812","2.71","56592","86.4%","55.6%","9743","56.5%","13434","57.7%","23177","57.2%","33384","54.5%","2.7pp"
"Bounding Felidar","W","U","122031","4.07","22395","5.49","108242","80.5%","54.6%","16338","53.6%","25200","55.4%","41538","54.7%","65366","54.4%","0.3pp"
"Bovine Intervention","W","U","171176","6.38","15633","10.10","21995","23.7%","50.6%","3405","46.3%","5332","50.7%","8737","49.0%","13228","51.6%","-2.6pp"
"Bridled Bighorn","W","C","412857","5.79","56983","8.47","225238","65.1%","54.9%","36698","53.7%","51590","54.1%","88288","53.9%","134130","55.5%","-1.5pp"
"Claim Jumper","W","R","34987","2.72","9070","3.20","46521","85.7%","54.1%","8239","53.5%","10923","54.7%","19162","54.2%","27359","54.0%","0.2pp"
"Dust Animus","W","R","17470","1.48","13160","1.48","77895","95.2%","56.8%","13829","60.0%","19529","61.8%","33358","61.0%","44587","53.7%","7.3pp"
"Eriette's Lullaby","W","C","409299","5.71","49587","8.66","158534","53.1%","53.2%","26869","50.9%","38503","54.5%","65372","53.1%","92934","53.3%","-0.2pp"
"Final Showdown","W","M","10023","1.74","6023","1.72","32088","86.6%","56.5%","5258","57.0%","8112","62.5%","13370","60.3%","18656","53.7%","6.6pp"
"Fortune, Loyal Steed","W","R","24561","2.03","11526","2.12","64759","92.2%","55.9%","11489","58.2%","15394","57.1%","26883","57.6%","36991","54.5%","3.0pp"
"Frontier Seeker","W","U","112762","3.75","28995","4.62","153530","85.8%","56.9%","27745","58.9%","34788","56.5%","62533","57.6%","90924","56.4%","1.2pp"
"Getaway Glamer","W","U","118810","3.97","31964","4.79","168595","85.4%","56.7%","27992","56.5%","41533","59.8%","69525","58.5%","98841","55.5%","3.0pp"
"High Noon","W","R","74342","5.81","8467","9.12","4049","8.0%","49.8%","644","45.0%","933","49.7%","1577","47.8%","2466","51.0%","-3.2pp"
