name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Abraded Bluffs,,0.0,Land — Desert,"Abraded Bluffs enters the battlefield tapped.
When Abraded Bluffs enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {R} or {W}.",n/a,n/a,[],"['R', 'W']",[],otj,common
Akul the Unrepentant,{B}{B}{R}{R},4.0,Legendary Creature — Scorpion Dragon Rogue,"Flying, trample
Sacrifice three other creatures: You may put a creature card from your hand onto the battlefield. Activate only as a sorcery and only once each turn.",5,5,"['B', 'R']","['B', 'R']","['Flying', 'Trample']",otj,rare
Aloe Alchemist,{1}{G},2.0,Creature — Plant Warlock,"Trample
When Aloe Alchemist becomes plotted, target creature gets +3/+2 and gains trample until end of turn.
Plot {1}{G} (You may pay {1}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",3,2,['G'],['G'],"['Plot', 'Trample']",otj,uncommon
Ambush Gigapede,{4}{B}{B},6.0,Creature — Insect,"Flash
When Ambush Gigapede enters the battlefield, target creature an opponent controls gets -2/-2 until end of turn.",6,2,['B'],['B'],['Flash'],otj,common
Ankle Biter,{G},1.0,Creature — Snake,Deathtouch,1,1,['G'],['G'],['Deathtouch'],otj,common
"Annie Flash, the Veteran",{3}{R}{G}{W},6.0,Legendary Creature — Human Rogue,"Flash
When Annie Flash, the Veteran enters the battlefield, if you cast it, return target permanent card with mana value 3 or less from your graveyard to the battlefield tapped.
Whenever Annie Flash becomes tapped, exile the top two cards of your library. You may play those cards this turn.",4,5,"['G', 'R', 'W']","['G', 'R', 'W']",['Flash'],otj,mythic
Annie Joins Up,{1}{R}{G}{W},4.0,Legendary Enchantment,"When Annie Joins Up enters the battlefield, it deals 5 damage to target creature or planeswalker an opponent controls.
If a triggered ability of a legendary creature you control triggers, that ability triggers an additional time.",n/a,n/a,"['G', 'R', 'W']","['G', 'R', 'W']",[],otj,rare
Another Round,{X}{X}{2}{W},3.0,Sorcery,"Exile any number of creatures you control, then return them to the battlefield under their owner's control. Then repeat this process X more times.",n/a,n/a,['W'],['W'],[],otj,rare
Archangel of Tithes,{1}{W}{W}{W},4.0,Creature — Angel,"Flying
As long as Archangel of Tithes is untapped, creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.
As long as Archangel of Tithes is attacking, creatures can't block unless their controller pays {1} for each of those creatures.",3,5,['W'],['W'],['Flying'],otj,mythic
Archmage's Newt,{1}{U},2.0,Creature — Salamander Mount,"Whenever Archmage's Newt deals combat damage to a player, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. That card gains flashback {0} until end of turn instead if Archmage's Newt is saddled. (You may cast that card from your graveyard for its flashback cost. Then exile it.)
Saddle 3",2,2,['U'],['U'],['Saddle'],otj,rare
Arid Archway,,0.0,Land — Desert,"Arid Archway enters the battlefield tapped.
When Arid Archway enters the battlefield, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}{C}.",n/a,n/a,[],[],['Surveil'],otj,uncommon
Armored Armadillo,{W},1.0,Creature — Armadillo,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
{3}{W}: Armored Armadillo gets +X/+0 until end of turn, where X is its toughness.",0,4,['W'],['W'],['Ward'],otj,common
Assimilation Aegis,{1}{W}{U},3.0,Artifact — Equipment,"When Assimilation Aegis enters the battlefield, exile up to one target creature until Assimilation Aegis leaves the battlefield.
Whenever Assimilation Aegis becomes attached to a creature, for as long as Assimilation Aegis remains attached to it, that creature becomes a copy of a creature card exiled with Assimilation Aegis.
Equip {2}",n/a,n/a,"['U', 'W']","['U', 'W']",['Equip'],otj,mythic
At Knifepoint,{1}{B}{R},3.0,Enchantment,"As long as it's your turn, outlaws you control have first strike. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)
Whenever you commit a crime, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery."" This ability triggers only once each turn.",n/a,n/a,"['B', 'R']","['B', 'R']",[],otj,uncommon
Aven Interrupter,{1}{W}{W},3.0,Creature — Bird Rogue,"Flash
Flying
When Aven Interrupter enters the battlefield, exile target spell. It becomes plotted. (Its owner may cast it as a sorcery on a later turn without paying its mana cost.)
Spells your opponents cast from graveyards or from exile cost {2} more to cast.",2,2,['W'],['W'],"['Flying', 'Plot', 'Flash']",otj,rare
Badlands Revival,{3}{B}{G},5.0,Sorcery,Return up to one target creature card from your graveyard to the battlefield. Return up to one target permanent card from your graveyard to your hand.,n/a,n/a,"['B', 'G']","['B', 'G']",[],otj,uncommon
Bandit's Haul,{3},3.0,Artifact,"Whenever you commit a crime, put a loot counter on Bandit's Haul. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
{T}: Add one mana of any color.
{2}, {T}, Remove two loot counters from Bandit's Haul: Draw a card.",n/a,n/a,[],[],[],otj,uncommon
Baron Bertram Graywater,{2}{W}{B},4.0,Legendary Creature — Vampire Noble,"Whenever one or more tokens enter the battlefield under your control, create a 1/1 black Vampire Rogue creature token with lifelink. This ability triggers only once each turn.
{1}{B}, Sacrifice another creature or artifact: Draw a card.",3,4,"['B', 'W']","['B', 'W']",[],otj,uncommon
Beastbond Outcaster,{2}{G},3.0,Creature — Human Druid,"When Beastbond Outcaster enters the battlefield, if you control a creature with power 4 or greater, draw a card.
Plot {1}{G} (You may pay {1}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",3,3,['G'],['G'],['Plot'],otj,uncommon
Betrayal at the Vault,{4}{G}{G},6.0,Instant,Target creature you control deals damage equal to its power to each of two other target creatures.,n/a,n/a,['G'],['G'],[],otj,uncommon
Binding Negotiation,{1}{B},2.0,Sorcery,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, they discard it. Otherwise, you may put a face-up exiled card they own into their graveyard.",n/a,n/a,['B'],['B'],[],otj,uncommon
Blacksnag Buzzard,{2}{B},3.0,Creature — Bird,"Flying
Blacksnag Buzzard enters the battlefield with a +1/+1 counter on it if a creature died this turn.
Plot {1}{B} (You may pay {1}{B} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",2,1,['B'],['B'],"['Flying', 'Plot']",otj,common
Blood Hustler,{1}{B},2.0,Creature — Vampire Rogue,"Whenever you commit a crime, put a +1/+1 counter on Blood Hustler. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
{3}{B}: Target opponent loses 1 life and you gain 1 life.",1,1,['B'],['B'],[],otj,uncommon
Blooming Marsh,,0.0,Land,"Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",n/a,n/a,[],"['B', 'G']",[],otj,rare
Boneyard Desecrator,{3}{B},4.0,Creature — Zombie Mercenary,"Menace
{1}{B}, Sacrifice another creature: Put a +1/+1 counter on Boneyard Desecrator. If an outlaw was sacrificed this way, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",3,4,['B'],['B'],"['Treasure', 'Menace']",otj,common
"Bonny Pall, Clearcutter",{3}{G}{U}{U},6.0,Legendary Creature — Giant Scout,"Reach
When Bonny Pall, Clearcutter enters the battlefield, create Beau, a legendary blue Ox creature token with ""This creature's power and toughness are each equal to the number of lands you control.""
Whenever you attack, draw a card, then you may put a land card from your hand or graveyard onto the battlefield.",6,5,"['G', 'U']","['G', 'U']",['Reach'],otj,rare
Boom Box,{2},2.0,Artifact,"{6}, {T}, Sacrifice Boom Box: Destroy up to one target artifact, up to one target creature, and up to one target land.",n/a,n/a,[],[],[],otj,uncommon
Botanical Sanctum,,0.0,Land,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",n/a,n/a,[],"['G', 'U']",[],otj,rare
